ID,Category,Name,Latitude,Longitude,Note,Segnalato da
1,Chiesa,Chiesa Cappuccini,37.573536, 13.214375,,Opendata Caltabellotta
2,Chiesa,Chiesa San Pellegrino,37.578253, 13.209498,,Opendata Caltabellotta
3,Chiesa,Cattedrale Madrice,37.578599, 13.2171489,,Opendata Caltabellotta
4,Chiesa,Chiesa della Pietà,37.578394, 13.213812,,Opendata Caltabellotta
5,Chiesa,Chiesa Sant'Agostino,37.5777737, 13.2171582,,Opendata Caltabellotta
6,Chiesa,Chiesa dell'Itria,37.576511, 13.217863,,Opendata Caltabellotta
7,Chiesa,Chiesa del Carmine,37.5772265, 13.2156731,,Opendata Caltabellotta
8,Chiesa,Chiesa di Santa Maria di Montevergine,37.564124, 13.236186,,Opendata Caltabellotta
9,Chiesa,Chiesa Colleggio di Maria,37.558785, 13.234780,,Opendata Caltabellotta
10,Chiesa,Chiesa Madrice Sant'Anna,37.559088, 13.234062,,Opendata Caltabellotta
11,POI,U Pirtusu,37.578380, 13.214235,,Paolo Fisco
12,POI,Altare Sacrificale,37.578523, 13.219774,,Vincenzo Pecorino
13,POI,Castello Vecchio,37.579717, 13.218742,,Vincenzo Pecorino
14,POI,Ruderi chiesa di S.Benedetto,37.575713, 13.209584,,Vincenzo Pecorino
15,POI,Calvario,37.574776, 13.209831,,Vincenzo Pecorino
16,POI,Scavi Archeologici A, 37.576601, 13.204541,,Sergio Caterina
17,POI,Scavi Archeologici B, 37.576632, 13.207085,,Sergio Caterina
